reaction,gene,flux
rxn00423_c0,ACIAD_RS08130,0.01673996373491477
rxn00423_c0,ACIAD_RS09595,0.01673996373491477
rxn00423_c0,ACIAD_RS07265,0.01673996373491477
rxn00364_c0,ACIAD_RS10735,0.11621274624380278
rxn03408_c0,ACIAD_RS15905,0.006721450147614108
rxn00935_c0,ACIAD_RS04640,-1.165009629144213
rxn01673_c0,ACIAD_RS02530,0.001317034185699687
rxn05625_c0,ACIAD_RS08805,-0.00803139883429555
rxn04070_c0,ACIAD_RS11715,0.0003352503271466298
rxn00199_c0,ACIAD_RS05470,0.25499481207346436
rxn00199_c0,ACIAD_RS05455,0.25499481207346436
rxn00800_c0,ACIAD_RS05610,0.0423777271729213
rxn10336_c0,ACIAD_RS13555,0.005196971618325039
rxn10336_c0,ACIAD_RS08660,0.005196971618325039
rxn02320_c0,ACIAD_RS03070,-0.016029329309277147
rxn02504_c0,ACIAD_RS11010,0.0010057509814398893
rxn05334_c0,ACIAD_RS06370,0.07518302368467121
rxn05040_c0,ACIAD_RS16150,0.0013410013085865193
rxn05040_c0,ACIAD_RS13150,0.0013410013085865193
rxn01636_c0,ACIAD_RS02970,0.05055953681912213
rxn02988_c0,ACIAD_RS02975,-0.0006705006542932582
rxn01117_c0,ACIAD_RS06840,-0.013442900295228329
rxn00710_c0,ACIAD_RS10700,0.03599085332143068
rxn02305_c0,ACIAD_RS05520,0.00033525032714662987
rxn00470_c0,ACIAD_RS15115,0.0006705006542932595
rxn00470_c0,ACIAD_RS12535,0.0006705006542932595
rxn00910_c0,ACIAD_RS10450,-0.08164832423951161
rxn00910_c0,ACIAD_RS08225,-0.08164832423951161
rxn01297_c0,ACIAD_RS11280,0.0020115019628797774
rxn01297_c0,ACIAD_RS11275,0.0020115019628797774
rxn03181_c0,ACIAD_RS10810,0.006721450147614164
rxn02331_c0,ACIAD_RS09215,-0.013442900295228329
rxn00337_c0,ACIAD_RS05765,0.23566517127133307
rxn05346_c0,ACIAD_RS04060,0.07518302368467121
rxn05346_c0,ACIAD_RS02645,0.07518302368467121
rxn05346_c0,ACIAD_RS02660,0.07518302368467121
rxn05346_c0,ACIAD_RS09640,0.07518302368467121
rxn05346_c0,ACIAD_RS02575,0.07518302368467121
rxn05733_c0,ACIAD_RS07655,0.016739963734914775
rxn02376_c0,ACIAD_RS12985,0.06980905137772785
rxn12512_c0,ACIAD_RS14115,0.0006705006542934672
rxn00902_c0,ACIAD_RS02405,-0.07591418318944176
rxn01739_c0,ACIAD_RS15170,0.06754469846933346
rxn01974_c0,ACIAD_RS12090,0.06444504614338181
rxn00060_c0,ACIAD_RS01340,0.0006705006542932595
rxn00225_c0,ACIAD_RS02460,0.10948443597962837
rxn05350_c0,ACIAD_RS04060,0.07518302368467121
rxn05350_c0,ACIAD_RS02645,0.07518302368467121
rxn05350_c0,ACIAD_RS02660,0.07518302368467121
rxn05350_c0,ACIAD_RS09640,0.07518302368467121
rxn05350_c0,ACIAD_RS02575,0.07518302368467121
rxn00100_c0,ACIAD_RS01670,0.0006705006542934672
rxn00789_c0,ACIAD_RS03060,-0.01602932930927715
rxn00789_c0,ACIAD_RS05780,-0.01602932930927715
rxn03436_c0,ACIAD_RS14005,0.04889845963448028
rxn00781_c0,ACIAD_RS05775,-0.4673045301239183
rxn08336_c0,ACIAD_RS06070,0.03599085332143067
rxn02264_c0,ACIAD_RS01345,0.0006705006542932594
rxn09202_c0,ACIAD_RS16105,0.005196971618325038
rxn00097_c0,ACIAD_RS05075,0.2824429818102893
rxn00097_c0,ACIAD_RS13490,0.2824429818102893
rxn02212_c0,ACIAD_RS15165,0.06754469846933348
rxn00250_c0,ACIAD_RS12725,-0.6995934157263876
rxn05324_c0,ACIAD_RS14075,-0.07518302368467122
rxn10481_c0,ACIAD_RS10970,0.00033525032714662987
rxn00692_c0,ACIAD_RS10325,-0.20294716789803968
rxn00802_c0,ACIAD_RS01325,0.04988903616482887
rxn03958_c0,ACIAD_RS06345,-0.08198195947527429
rxn01362_c0,ACIAD_RS15940,-0.03599085332143068
rxn05329_c0,ACIAD_RS06370,0.07518302368467121
rxn00549_c0,ACIAD_RS11935,0.1367392884732728
rxn08766_c0,ACIAD_RS09640,0.07518302368467121
rxn05461_c0,ACIAD_RS04020,0.04157577294660038
rxn02159_c0,ACIAD_RS03065,0.016029329309277147
rxn00269_c0,ACIAD_RS04260,0.04065303421450865
rxn05466_c0,ACIAD_RS13360,1.7358356480928292
rxn05466_c0,ACIAD_RS01155,1.7358356480928292
rxn05466_c0,ACIAD_RS11505,1.7358356480928292
rxn00917_c0,ACIAD_RS14605,0.028812720326024367
rxn00917_c0,ACIAD_RS00705,0.028812720326024367
rxn00917_c0,ACIAD_RS09300,0.028812720326024367
rxn00300_c0,ACIAD_RS16150,0.0006705006542932595
